timestamp,cpu_percent,ram_percent,ram_used_gib,ram_total_gib,disk_percent,disk_used_gib,disk_total_gib,uptime_seconds,uptime_hms,cpu_alert,ram_alert
2025-12-27T19:10:21.921943,7.8,60.9,9.35,15.37,89.8,415.82,463.25,18197.698967456818,05:03:17,False,False
2025-12-27T19:10:24.223592,7.4,60.8,9.35,15.37,89.8,415.82,463.25,18200.000616550446,05:03:20,False,False
2025-12-27T19:10:26.527711,8.8,60.8,9.35,15.37,89.8,415.82,463.25,18202.30473446846,05:03:22,False,False
2025-12-27T19:10:28.829957,11.3,60.8,9.34,15.37,89.8,415.82,463.25,18204.606981277466,05:03:24,False,False
2025-12-27T19:10:31.132269,8.0,60.8,9.35,15.37,89.8,415.82,463.25,18206.909293174744,05:03:26,False,False
2025-12-27T19:10:33.443408,9.2,60.8,9.35,15.37,89.8,415.82,463.25,18209.220432519913,05:03:29,False,False
2025-12-27T19:10:35.752311,12.0,60.1,9.24,15.37,89.8,415.82,463.25,18211.529334545135,05:03:31,False,False
2025-12-27T19:10:38.053726,25.8,60.2,9.25,15.37,89.8,415.82,463.25,18213.830749988556,05:03:33,False,False
2025-12-27T19:10:40.355392,9.3,60.2,9.25,15.37,89.8,415.82,463.25,18216.132415533066,05:03:36,False,False
2025-12-27T19:10:42.660793,18.3,61.2,9.4,15.37,89.8,415.94,463.25,18218.437816619873,05:03:38,False,False
2025-12-27T19:10:44.962826,25.1,62.3,9.58,15.37,89.8,415.94,463.25,18220.739849805832,05:03:40,False,False
2025-12-27T19:10:47.264810,11.4,62.6,9.63,15.37,89.8,415.94,463.25,18223.041833877563,05:03:43,False,False
